観測所番号,都道府県,地点,国際地点番号,観測時刻(年),観測時刻(月),観測時刻(日),観測時刻(時),観測時刻(分),31日の値(mm),31日の値の品質情報,極値更新,10年未満での極値更新,30日までの観測史上1位の値(mm),30日までの観測史上1位の値の品質情報,30日までの観測史上1位の値の年,30日までの観測史上1位の値の月,30日までの観測史上1位の値の日,30日までの6月の1位の値(mm),30日までの6月の1位の値の品質情報,30日までの6月の1位の値の年,30日までの6月の1位の値の月,30日までの6月の1位の値の日,統計開始年
86066,熊本県,南小国（ミナミオグニ）,,2022,05,31,,,0.0,8,,,379,8,1990,07,02,202,8,2002,05,15,1976
86086,熊本県,岱明（タイメイ）,,2022,05,31,,,0.0,8,,,410,8,1980,08,29,200,8,1988,05,03,1976
86101,熊本県,菊池（キクチ）,,2022,05,31,,,0.0,8,,,352,8,1980,08,29,154.5,8,2010,05,23,1976
86111,熊本県,阿蘇乙姫（アソオトヒメ）,,2022,05,31,,,3.5,8,,,493.0,8,2012,07,12,282,8,2002,05,15,1978
86141,熊本県,熊本（クマモト）,47819,2022,05,31,,,0.0,8,,,480.5,8,1957,07,25,351.0,8,1988,05,03,1890
86146,熊本県,益城（マシキ）,,2022,05,31,,,0.5,8,,,292,8,2003,07,12,190.0,8,2010,05,23,1976
86157,熊本県,南阿蘇（ミナミアソ）,,2022,05,31,,,2.5,8,,,357.5,8,2020,07,07,187.5,8,2021,05,17,2015
86161,熊本県,高森（タカモリ）,,2022,05,31,,,1.5,8,,,284,8,1985,06,26,193,8,2002,05,15,1976
86181,熊本県,宇土（ウト）,,2022,05,31,,,0.0,8,,,239.5,8,2008,06,21,192.0,8,2010,05,23,2006
86197,熊本県,山都（ヤマト）,,2022,05,31,,,1.0,8,,,356.5,8,2020,07,11,245.0,8,2021,05,17,2010
86216,熊本県,三角（ミスミ）,,2022,05,31,,,0.0,8,,,320,8,1982,07,24,193.0,8,2010,05,23,1976
86236,熊本県,甲佐（コウサ）,,2022,05,31,,,0.0,8,,,277,8,1982,07,24,180,8,1988,05,03,1976
86271,熊本県,松島（マツシマ）,,2022,05,31,,,0.0,8,,,391,8,1982,07,24,195.5,8,2010,05,23,1976
86316,熊本県,本渡（ホンド）,,2022,05,31,,,0.0,8,,,293,8,1993,08,01,182.5,8,2020,05,16,1976
86336,熊本県,八代（ヤツシロ）,,2022,05,31,,,0.0,8,,,360,8,1982,07,24,175.5,8,2010,05,23,1976
86396,熊本県,田浦（タノウラ）,,2022,05,31,,,0.0,8,,,359.0,8,2020,07,04,203.0,8,2010,05,23,1976
86407,熊本県,山江（ヤマエ）,,2022,05,31,,,1.0,8,,,379.5,8,2020,07,04,228.0,8,2021,05,20,1990
86411,熊本県,五木（イツキ）,,2022,05,31,,,0.0,8,,,344.5,8,2012,07,12,247.5,8,2021,05,20,2012
86451,熊本県,水俣（ミナマタ）,,2022,05,31,,,0.0,8,,,390,8,2006,07,22,245.5,8,2021,05,20,1976
86461,熊本県,一勝地（イッショウチ）,,2022,05,31,,,0.0,8,,,379,8,2006,07,22,210.5,8,2021,05,20,2006
86467,熊本県,人吉（ヒトヨシ）,47824,2022,05,31,,,0.0,8,,,331.5,8,1995,07,03,214.0,8,1944,05,10,1943
86477,熊本県,上（ウエ）,,2022,05,31,,,0.0,8,,,354.0,8,2020,07,04,146.5,8,2020,05,18,1977
86478,熊本県,多良木（タラギ）,,2022,05,31,,,0.0,8,,,328.0,8,2020,07,04,180.5,8,2010,05,23,2006
86481,熊本県,湯前横谷（ユノマエヨコタニ）,,2022,05,31,,,0.0,8,,,386.5,8,2020,07,04,208.0,8,2018,05,07,1976
86491,熊本県,牛深（ウシブカ）,47838,2022,05,31,,,0.0,8,,,363.0,8,2020,07,04,247.0,8,2010,05,23,1949
87041,宮崎県,高千穂（タカチホ）,,2022,05,31,,,1.0,8,,,355,8,2005,09,06,141,8,2002,05,15,1976
87066,宮崎県,古江（フルエ）,,2022,05,31,,,0.0,8,,,417,8,2001,10,16,213,8,2003,05,26,1977
87071,宮崎県,鞍岡（クラオカ）,,2022,05,31,,,1.0,8,,,449,8,2005,09,06,186,8,1988,05,03,1979
87086,宮崎県,日之影（ヒノカゲ）,,2022,05,31,,,1.0,8,,,286.0,8,2017,09,17,122.0,8,2020,05,16,2010
87127,宮崎県,諸塚（モロツカ）,,2022,05,31,,,0.0,8,,,468,8,2005,09,05,174,8,2003,05,30,1979
87136,宮崎県,北方（キタカタ）,,2022,05,31,,,0.0,8,,,363.5,8,2014,08,02,287,8,2003,05,30,1987
87141,宮崎県,延岡（ノベオカ）,47822,2022,05,31,,,0.0,8,,,363.5,8,2001,10,16,258.0,8,1970,05,06,1961
87157,宮崎県,椎葉（シイバ）,,2022,05,31,,,0.0,8,,,438.5,8,2020,09,06,227.5,8,2021,05,20,2011
87181,宮崎県,日向（ヒュウガ）,,2022,05,31,,,0.0,8,,,366,8,2007,07,13,221,8,2003,05,26,1976
87206,宮崎県,神門（ミカド）,,2022,05,31,,,0.0,8,,,628,8,2005,09,06,241,8,2003,05,30,1979
87231,宮崎県,西米良（ニシメラ）,,2022,05,31,,,0.0,8,,,364.5,8,2020,09,06,161.5,8,2018,05,07,1979
87251,宮崎県,都農（ツノ）,,2022,05,31,,,0.0,8,,,300.5,8,2014,06,04,198.0,8,2021,05,12,2010
87293,宮崎県,高鍋（タカナベ）,,2022,05,31,,,0.0,8,,,272.0,8,2018,09,30,158.0,8,2017,05,12,2017
87301,宮崎県,加久藤（カクトウ）,,2022,05,31,,,0.0,8,,,405,8,2006,07,22,228.5,8,2020,05,16,1976
87331,宮崎県,西都（サイト）,,2022,05,31,,,0.0,8,,,348,8,2005,09,05,176,8,2003,05,30,1976
87346,宮崎県,えびの（エビノ）,,2022,05,31,,,1.0,8,,,715,8,1996,07,18,296.5,8,2010,05,23,1976
87352,宮崎県,小林（コバヤシ）,,2022,05,31,,,0.0,8,,,365,8,2006,07,22,136.5,8,2021,05,27,2000
87361,宮崎県,野尻（ノジリ）,,2022,05,31,,,0.0,8,,,378,8,2005,09,05,151.0,8,2017,05,12,1976
87371,宮崎県,国富（クニトミ）,,2022,05,31,,,0.0,8,,,405,8,2005,09,05,143.5,8,2017,05,12,1976
87376,宮崎県,宮崎（ミヤザキ）,47830,2022,05,31,,,0.0,8,,,587.2,8,1939,10,16,188.3,8,1893,05,20,1886
87406,宮崎県,田野（タノ）,,2022,05,31,,,0.0,8,,,328.0,8,2017,09,16,117.5,8,2019,05,20,2017
87412,宮崎県,赤江（アカエ）,,2022,05,31,,,0.0,8,,,391.0,8,2017,10,28,139.5,8,2021,05,12,2003
87426,宮崎県,都城（ミヤコノジョウ）,47829,2022,05,31,,,0.0,8,,,429.0,8,2005,09,05,201.9,8,1965,05,26,1942
87461,宮崎県,深瀬（フカセ）,,2022,05,31,,,0.0,8,,,413,8,1990,09,29,294,8,2003,05,13,1977
87492,宮崎県,油津（アブラツ）,47835,2022,05,31,,,0.0,8,,,348.7,8,1951,06,30,203.5,8,2000,05,27,1949
87501,宮崎県,串間（クシマ）,,2022,05,31,,,0.0,8,,,439,8,2005,09,05,144,8,2003,05,30,1976
88061,鹿児島県,阿久根（アクネ）,47823,2022,05,31,,,0.0,8,,,555.5,8,1971,07,23,248.0,8,2017,05,12,1939
88066,鹿児島県,出水（イズミ）,,2022,05,31,,,0.0,8,,,306.0,8,2011,07,06,214.0,8,2017,05,12,1976
88081,鹿児島県,大口（オオクチ）,,2022,05,31,,,0.0,8,,,450.0,8,2021,07,10,199.0,8,2020,05,16,1976
88101,鹿児島県,紫尾山（シビサン）,,2022,05,31,,,1.5,8,,,502,8,1976,07,19,364.5,8,2010,05,23,1976
88107,鹿児島県,さつま柏原（サツマカシワバル）,,2022,05,31,,,0.0,8,,,418.5,8,2021,07,10,232.5,8,2017,05,12,1976
88131,鹿児島県,中甑（ナカコシキ）,,2022,05,31,,,0.0,8,,,328,8,1976,07,19,326.5,8,2017,05,12,1976
88151,鹿児島県,川内（センダイ）,,2022,05,31,,,0.5,8,,,369,8,1993,08,06,238.5,8,2017,05,12,1977
88166,鹿児島県,溝辺（ミゾベ）,,2022,05,31,,,0.0,8,,,450,8,1993,08,01,181,8,2000,05,27,1976
88211,鹿児島県,八重山（ヤエヤマ）,,2022,05,31,,,1.0,8,,,414,8,1993,08,01,227.5,8,2010,05,23,1976
88261,鹿児島県,東市来（ヒガシイチキ）,,2022,05,31,,,0.0,8,,,313.5,8,2019,07,01,156.0,8,2010,05,23,1976
88286,鹿児島県,牧之原（マキノハラ）,,2022,05,31,,,0.0,8,,,369,8,1989,07,28,231,8,2000,05,27,1976
88317,鹿児島県,鹿児島（カゴシマ）,47827,2022,05,31,,,0.0,8,,,375.0,8,2019,07,03,186.5,8,2000,05,27,1883
88331,鹿児島県,輝北（キホク）,,2022,05,31,,,0.0,8,,,405.5,8,2019,07,03,303,8,2000,05,27,1977
88341,鹿児島県,大隅（オオスミ）,,2022,05,31,,,0.0,8,,,421.0,8,2019,07,03,254,8,2000,05,27,1977
88371,鹿児島県,加世田（カセダ）,,2022,05,31,,,0.5,8,,,354.5,8,2019,07,03,190,8,1980,05,15,1976
88392,鹿児島県,吉ケ別府（ヨシガベップ）,,2022,05,31,,,0.0,8,,,460.0,8,2019,07,03,313,8,2000,05,27,1977
88406,鹿児島県,志布志（シブシ）,,2022,05,31,,,0.0,8,,,305,8,1993,08,01,141.0,8,2011,05,28,1976
88432,鹿児島県,喜入（キイレ）,,2022,05,31,,,0.5,8,,,329.5,8,2019,07,03,189,8,2000,05,27,1977
88442,鹿児島県,鹿屋（カノヤ）,,2022,05,31,,,0.0,8,,,385.5,8,2020,07,06,171,8,2004,05,09,1977
88447,鹿児島県,肝付前田（キモツキマエダ）,,2022,05,31,,,0.0,8,,,542,8,2005,09,05,144.0,8,2011,05,28,1977
88466,鹿児島県,枕崎（マクラザキ）,47831,2022,05,31,,,0.0,8,,,346.5,8,2007,07,03,177.5,8,2015,05,15,1923
88486,鹿児島県,指宿（イブスキ）,,2022,05,31,,,0.0,8,,,339,8,1989,07,28,211,8,2004,05,09,1976
88506,鹿児島県,内之浦（ウチノウラ）,,2022,05,31,,,0.0,8,,,406.5,8,2015,04,30,374.0,8,2019,05,19,1976
88536,鹿児島県,田代（タシロ）,,2022,05,31,,,0.0,8,,,484,8,2005,09,05,164.0,8,2011,05,28,1977
88551,鹿児島県,佐多（サタ）,,2022,05,31,,,0.0,8,,,314,8,1997,09,15,180.0,8,2019,05,19,1977
88612,鹿児島県,種子島（タネガシマ）,47837,2022,05,31,,,0.0,8,,,368.0,8,1995,07,01,229.0,8,1983,05,30,1948
88621,鹿児島県,中種子（ナカタネ）,,2022,05,31,,,0.0,8,,,336.5,8,2014,10,05,213.5,8,2011,05,28,2006
88666,鹿児島県,上中（カミナカ）,,2022,05,31,,,0.0,8,,,338,8,1995,07,01,263.5,8,2011,05,28,1976
88686,鹿児島県,屋久島（ヤクシマ）,47836,2022,05,31,,,0.0,8,,,557.3,8,1942,08,27,439.5,8,2019,05,18,1937
88706,鹿児島県,尾之間（オノアイダ）,,2022,05,31,,,0.0,8,,,385,8,1977,07,10,293.5,8,2019,05,18,1976
88736,鹿児島県,中之島（ナカノシマ）,,2022,05,31,,,0.0,8,,,390.0,8,2020,06,04,348.5,8,2011,05,28,2002
88746,鹿児島県,平島（タイラジマ）,,2022,05,31,,,0.0,8,,,319.0,8,2018,06,21,265.5,8,2016,05,06,2014
88756,鹿児島県,諏訪之瀬島（スワノセジマ）,,2022,05,31,,,0.0,8,,,365.0,8,2020,07,08,273.5,8,2016,05,06,2014
88776,鹿児島県,小宝島（コダカラジマ）,,2022,05,31,,,0.0,8,,,231.0,8,2015,07,21,210.5,8,2022,05,29,2014
88781,鹿児島県,宝島（タカラジマ）,,2022,05,31,,,0.5,8,,,254.5,8,2015,07,21,152.0,8,2018,05,08,2014
88821,鹿児島県,笠利（カサリ）,,2022,05,31,,,1.0,8,,,348.0,8,2017,08,05,153.0,8,2013,05,16,2003
88836,鹿児島県,名瀬（ナゼ）,47909,2022,05,31,,,7.0,8,,,622.0,8,2010,10,20,547.1,8,1903,05,29,1896
88851,鹿児島県,喜界島（キカイジマ）,,2022,05,31,,,1.0,8,,,454.5,8,2017,09,04,230,8,1993,05,27,1978
88901,鹿児島県,古仁屋（コニヤ）,,2022,05,31,,,10.0,8,,,480,8,1991,08,21,348,8,1983,05,29,1976
88931,鹿児島県,天城（アマギ）,,2022,05,31,,,9.5,8,,,289.5,8,2012,09,29,194.5,8,2011,05,01,2003
88956,鹿児島県,伊仙（イセン）,,2022,05,31,,,9.5,8,,,414.5,8,2012,08,27,237.5,8,2011,05,01,1977
88971,鹿児島県,沖永良部（オキノエラブ）,47942,2022,05,31,,,12.0,8,,,408.5,8,1972,07,22,221.5,8,1979,05,04,1969
88986,鹿児島県,与論島（ヨロンジマ）,,2022,05,31,,,16.5,8,,,368,8,2000,07,30,216,8,1988,05,01,1978
91011,沖縄県,伊是名（イゼナ）,,2022,05,31,,,13.5,8,,,312.0,8,2018,06,16,203,8,1982,05,29,1977
91021,沖縄県,奥（オク）,,2022,05,31,,,22.5,8,,,400.0,8,2012,08,27,215,8,1994,05,31,1976
91046,沖縄県,国頭（クニガミ）,,2022,05,31,,,50.0,8,,,512.5,8,2014,10,11,168.0,8,2010,05,07,2005
91066,沖縄県,本部（モトブ）,,2022,05,31,,,25.0,8,,,428.0,8,2011,08,05,273,8,1994,05,31,1981
91081,沖縄県,東（ヒガシ）,,2022,05,31,,,49.0,8,,,430.0,8,2014,10,11,208,8,1994,05,03,1981
91096,沖縄県,粟国（アグニ）,,2022,05,31,,,68.0,8,,,288.0,8,2018,06,16,143.5,8,2010,05,29,2003
91107,沖縄県,名護（ナゴ）,47940,2022,05,31,,,77.5,8,,,458.0,8,1969,10,07,191.0,8,1994,05,31,1966
91121,沖縄県,読谷（ヨミタン）,,2022,05,31,,,47.5,8,,,297.5,8,2014,07,09,172.5,8,2010,05,16,1976
91141,沖縄県,北原（キタハラ）,,2022,05,31,,,14.0,8,,,329.0,8,2018,07,03,136.5,8,2014,05,10,2003
91146,沖縄県,久米島（クメジマ）,47929,2022,05,31,,,12.0,8,,,577.5,8,2001,09,12,268.0,8,1994,05,31,1958
91151,沖縄県,渡名喜（トナキ）,,2022,05,31,,,34.0,8,,,176.5,4,2015,07,10,122.0,8,2020,05,06,2014
91161,沖縄県,胡屋（ゴヤ）,,2022,05,31,,,68.5,8,,,294,8,1984,08,19,216.0,8,2010,05,16,1976
91166,沖縄県,宮城島（ミヤギジマ）,,2022,05,31,,,42.5,8,,,222.0,8,2010,05,16,222.0,8,2010,05,16,2007
91181,沖縄県,渡嘉敷（トカシキ）,,2022,05,31,,,55.0,8,,,504,8,1997,08,07,198.5,8,2020,05,02,1977
91197,沖縄県,那覇（ナハ）,47936,2022,05,31,,,162.5,8,,,468.9,8,1959,10,16,206.1,8,1916,05,20,1890
91236,沖縄県,安次嶺（アシミネ）,,2022,05,31,,,139.0,8,,,384,8,2007,08,11,193.0,8,2013,05,23,2003
91241,沖縄県,糸数（イトカズ）,,2022,05,31,,,179.5,8,,,293,4,2007,08,11,206,8,1982,05,02,1976
92006,沖縄県,北大東（キタダイトウ）,,2022,05,31,,,28.5,8,,,244.0,8,2014,10,04,175.5,8,2015,05,25,2003
92011,沖縄県,南大東（ミナミダイトウ）（南大東島（ミナミダイトウジマ））,47945,2022,05,31,,,10.0,8,,,388.2,8,1957,06,14,249.0,8,1994,05,27,1942
92012,沖縄県,旧東（キュウトウ）,,2022,05,31,,,7.0,8,,,289.5,8,2019,06,11,170.5,8,2015,05,25,2003
93012,沖縄県,下地島（シモジシマ）,,2022,05,31,,,0.5,8,,,438,8,2003,09,11,209.0,8,2022,05,28,2003
93041,沖縄県,宮古島（ミヤコジマ）,47927,2022,05,31,,,1.0,8,,,452.0,8,2017,09,13,226.2,8,1956,05,03,1937
93042,沖縄県,鏡原（カガミハラ）,,2022,05,31,,,0.0,8,,,376.0,8,2017,09,13,120.0,8,2022,05,26,2003
93051,沖縄県,城辺（グスクベ）,,2022,05,31,,,0.0,8,,,494.0,8,2017,09,13,167,8,1996,05,31,1978
93062,沖縄県,仲筋（ナカスジ）,,2022,05,31,,,2.0,8,,,471.0,8,2012,09,28,175.5,8,2015,05,22,2003
94001,沖縄県,伊原間（イバルマ）,,2022,05,31,,,10.0,8,,,405,8,1994,06,19,202.5,8,2011,05,28,1977
94011,沖縄県,所野（トコロノ）,,2022,05,31,,,8.5,8,,,573.0,8,2008,09,13,441.5,8,2019,05,13,2003
94017,沖縄県,与那国島（ヨナグニジマ）,47912,2022,05,31,,,8.0,8,,,765.0,8,2008,09,13,437.5,8,2019,05,13,1956
94036,沖縄県,川平（カビラ）,,2022,05,31,,,6.5,8,,,444.5,8,2008,09,12,227,8,1998,05,06,1978
94062,沖縄県,西表島（イリオモテジマ）,47917,2022,05,31,,,6.0,8,,,335.0,8,2005,07,18,211.5,8,2011,05,28,1954
94081,沖縄県,石垣島（イシガキジマ）,47918,2022,05,31,,,14.0,8,,,378.9,8,1935,07,22,230.0,8,2001,05,31,1896
94086,沖縄県,盛山（モリヤマ）,,2022,05,31,,,5.0,8,,,264.5,8,2020,06,08,234.5,8,2014,05,05,2013
94101,沖縄県,大原（オオハラ）,,2022,05,31,,,4.0,8,,,385,8,1985,08,22,338,8,1986,05,13,1978
94116,沖縄県,波照間（ハテルマ）,,2022,05,31,,,39.0,8,,,326,8,1997,05,01,326,8,1997,05,01,1979
